Precinct,Total Voters,Kamala Harris,Kamala %,Donald Trump,Trump %,RFK,RFK%,Ward,shape_area,ward_precinct,shape_leng,precinct,ward,geometry,Kamala
1,937,830,88.58%,95,10.14%,12,1.28%,Ward 1,0.000025518459758,01001,0.0245635601862,1.0,1.0,"POLYGON ((-87.70493800018852 41.92756000019393, -87.70577500011615 41.92807299956934, -87.70540600018671 41.928342000283116, -87.7048749999812 41.9284030003982, -87.70498100037281 41.93204099999218, -87.698845999843 41.93208800036097, -87.69876699979716 41.92915900018778, -87.70122900001832 41.92912699961141, -87.70118499978787 41.92815999998407, -87.7024129997601 41.92815000042224, -87.70234700031375 41.92596799962354, -87.70493800018852 41.92756000019393))",88.58
2,961,857,89.18%,96,9.99%,8,0.83%,Ward 1,0.0000354799012622,01002,0.0328451023812,2.0,1.0,"POLYGON ((-87.697427000056 41.92531299999501, -87.70024999983758 41.925257000110484, -87.70175399994713 41.92617700026842, -87.70175099980878 41.92658900038213, -87.70236500024453 41.926584000151536, -87.7024129997601 41.92815000042224, -87.70118499978787 41.92815999998407, -87.70122900001832 41.92912699961141, -87.69876699979716 41.92915900018778, -87.698845999843 41.93208800036097, -87.69619699999151 41.932104000199494, -87.69273000018933 41.9301700000455, -87.69268199977444 41.92994599960827, -87.6927019997974 41.92972800034698, -87.69394000023078 41.93028700004504, -87.69516199992633 41.93029400036789, -87.69507000018035 41.92765400003214, -87.69628999978363 41.927643000424155, -87.69619099971482 41.92481899969715, -87.69741300030968 41.924807000043074, -87.697427000056 41.92531299999501))",89.18
3,941,835,88.74%,94,9.99%,12,1.28%,Ward 1,0.0000444142531941,01003,0.0353006733058,3.0,1.0,"POLYGON ((-87.69625499996823 41.926642000128254, -87.69628999978363 41.927643000424155, -87.69507000018035 41.92765400003214, -87.69516199992633 41.93029400036789, -87.69394000023078 41.93028700004504, -87.6927019997974 41.92972800034698, -87.69273000018933 41.9301700000455, -87.69619699999151 41.932104000199494, -87.69396400043826 41.93212400022248, -87.68776599970107 41.92858299970572, -87.68764200027806 41.92490099988128, -87.69619099971482 41.92481899969715, -87.69625499996823 41.926642000128254))",88.74
4,1027,937,91.24%,84,8.18%,6,0.58%,Ward 1,0.0000283054023451,01004,0.0232314930038,4.0,1.0,"POLYGON ((-87.70159899999379 41.9206119999439, -87.70178400043126 41.92074399973586, -87.70170899967059 41.92138200037908, -87.7022120003835 41.921502999663744, -87.70236500024453 41.926584000151536, -87.70175099980878 41.92658900038213, -87.70175399994713 41.92617700026842, -87.70024999983758 41.925257000110484, -87.697427000056 41.92531299999501, -87.69726099959541 41.91959199967112, -87.7015670003168 41.91955099957902, -87.70159899999379 41.9206119999439))",91.24
5,998,891,89.28%,95,9.52%,12,1.20%,Ward 1,0.0000287044306217,01005,0.024817970029,5.0,1.0,"POLYGON ((-87.69721900035654 41.91814200025317, -87.69741300030968 41.924807000043074, -87.69284300000442 41.92485200031962, -87.69271200025855 41.920064999899864, -87.69314699963428 41.920329000383106, -87.69536100011004 41.9183720000678, -87.6940800003917 41.9175190003017, -87.69720100042576 41.917488999817515, -87.69721900035654 41.91814200025317))",89.28
6,847,730,86.19%,106,12.51%,11,1.30%,Ward 1,0.0000244828920002,01006,0.0202561074031,6.0,1.0,"POLYGON ((-87.69137799989477 41.9207839997818, -87.69273200028152 41.92077100008163, -87.69284300000442 41.92485200031962, -87.68764200027806 41.92490099988128, -87.68748700032478 41.91997999957738, -87.69135199959504 41.91995600026923, -87.69137799989477 41.9207839997818))",86.19
7,977,862,88.23%,105,10.75%,10,1.02%,Ward 1,0.0000358699704856,01007,0.0300717381351,7.0,1.0,"POLYGON ((-87.70701199960405 41.918350999998715, -87.70708100008807 41.92066299959782, -87.70743400017892 41.92076299971272, -87.7076310002704 41.9210510004034, -87.70744899997135 41.921346999664365, -87.70711299976512 41.92145200000983, -87.70714200020313 41.92232299970674, -87.70223299955325 41.922384999867916, -87.7022120003835 41.921502999663744, -87.70169099973981 41.921336000056385, -87.70178400043126 41.92074399973586, -87.70159899999379 41.9206119999439, -87.7015670003168 41.91955099957902, -87.69726099959541 41.91959199967112, -87.69720100042576 41.917488999817515, -87.70697599974255 41.9174020003021, -87.70701199960405 41.918350999998715))",88.23
8,919,783,85.20%,124,13.49%,12,1.31%,Ward 1,0.0000194604003387,01008,0.0190222525101,8.0,1.0,"POLYGON ((-87.69812699996106 41.91399699976177, -87.69761299964017 41.91400300003846, -87.69771599989343 41.917484999633075, -87.69230600042152 41.91753099995572, -87.69220300016826 41.91395000029234, -87.69709299994196 41.91387999976223, -87.69812699996106 41.91399699976177))",85.2
9,589,461,78.27%,121,20.54%,7,1.19%,Ward 1,0.0000184378204855,01009,0.0208550403244,9.0,1.0,"POLYGON ((-87.69513899976499 41.91856700006707, -87.69314699963428 41.920329000383106, -87.69271200025855 41.920064999899864, -87.69273200028152 41.92077100008163, -87.69137799989477 41.9207839997818, -87.69135199959504 41.91995600026923, -87.68748700032478 41.91997999957738, -87.68741000037119 41.91756799986336, -87.6940800003917 41.9175190003017, -87.69536100011004 41.9183720000678, -87.69513899976499 41.91856700006707))",78.27
10,1164,1024,87.97%,132,11.34%,8,0.69%,Ward 1,0.0000265932226738,01010,0.0206596104568,10.0,1.0,"POLYGON ((-87.69220300016826 41.91395000029234, -87.69230600042152 41.91753099995572, -87.68741000037119 41.91756799986336, -87.68726800011808 41.91213200009179, -87.69215299966118 41.912093000091936, -87.69220300016826 41.91395000029234))",87.97
